match_number,type,date,location,home_team,away_team
46,5,28/04/2024 14:00,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,
47,6,29/04/2024 14:00,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,
48,6,30/04/2024 14:00,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Mumbai Indians,
49,6,01/05/2024 14:00,MA Chidambaram Stadium,Chennai Super Kings,Punjab Kings,
50,6,02/05/2024 14:00,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Rajasthan Royals,
51,6,03/05/2024 14:00,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,
52,6,04/05/2024 14:00,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Gujarat Titans,
53,6,05/05/2024 10:00,Himachal Pradesh Cricket Association Stadium,Punjab Kings,Chennai Super Kings,
54,6,05/05/2024 14:00,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Kolkata Knight Riders,
55,7,06/05/2024 14:00,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,
56,7,07/05/2024 14:00,Arun Jaitley Stadium,Delhi Capitals,Rajasthan Royals,
57,7,08/05/2024 14:00,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Lucknow Super Giants,
58,7,09/05/2024 14:00,Himachal Pradesh Cricket Association Stadium,Punjab Kings,Royal Challengers Bengaluru,
59,7,10/05/2024 14:00,Narendra Modi Stadium,Gujarat Titans,Chennai Super Kings,
60,7,11/05/2024 14:00,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,
61,7,12/05/2024 10:00,MA Chidambaram Stadium,Chennai Super Kings,Rajasthan Royals,
62,7,12/05/2024 14:00,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Delhi Capitals,
63,8,13/05/2024 14:00,Narendra Modi Stadium,Gujarat Titans,Kolkata Knight Riders,
64,8,14/05/2024 14:00,Arun Jaitley Stadium,Delhi Capitals,Lucknow Super Giants,
65,8,15/05/2024 14:00,Barsapara Cricket Stadium,Rajasthan Royals,Punjab Kings,
66,8,16/05/2024 14:00,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Gujarat Titans,
67,8,17/05/2024 14:00,Wankhede Stadium,Mumbai Indians,Lucknow Super Giants,
68,8,18/05/2024 14:00,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Chennai Super Kings,
69,8,19/05/2024 10:00,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Punjab Kings,
70,8,19/05/2024 14:00,Barsapara Cricket Stadium,Rajasthan Royals,Kolkata Knight Riders,

