team_name,acronym
Adelaide Strikers,STR
Brisbane Heat,HEA
Hobart Hurricanes,HUR
Melbourne Renegades,REN
Melbourne Stars,STA
Perth Scorchers,SCO
Sydney Sixers,SIX
Sydney Thunder,THU
